A1;0;[(1, 116.72100043296814), (2, 112.21526312828064), (3, 111.88424611091614), (4, 112.4505364894867), (5, 112.32691287994385), (6, 112.40442419052124), (7, 112.26539921760559), (8, 111.93411588668823), (9, 111.51851105690002), (10, 111.65641355514526), (11, 116.64695572853088), (12, 112.23109149932861), (13, 112.23183512687683), (14, 110.66709995269775), (15, 112.64635348320007), (16, 113.2208456993103), (17, 112.5226366519928), (18, 112.8508050441742), (19, 113.12050127983093), (20, 111.56126809120178), (21, 112.09301686286926), (22, 112.12887716293335), (23, 111.09907078742981), (24, 111.78876090049744), (25, 112.59065699577332), (26, 110.87447261810303), (27, 112.13459777832031), (28, 112.41973543167114)]
A1;1;[(1, 115.48978447914124), (2, 110.58548665046692), (3, 110.78205943107605), (4, 110.17552542686462), (5, 110.5213074684143), (6, 110.02703332901001), (7, 109.94954752922058), (8, 109.64132595062256), (9, 109.54222536087036), (10, 109.860759973526), (11, 113.93784356117249), (12, 110.97944641113281), (13, 111.36830544471741), (14, 110.77221894264221), (15, 110.74336528778076), (16, 110.64889979362488), (17, 112.5481219291687), (18, 111.66982579231262), (19, 110.74886894226074), (20, 109.59007239341736), (21, 110.99753022193909), (22, 110.74613308906555), (23, 109.69568681716919), (24, 110.61767435073853), (25, 111.37925672531128), (26, 109.66252613067627), (27, 109.75784826278687)]
A1;2;[(1, 112.04488492012024), (2, 108.10249137878418), (3, 108.12524104118347), (4, 107.9428813457489), (5, 108.06779193878174), (6, 107.5410373210907), (7, 108.21121883392334), (8, 108.18354344367981), (9, 107.78611612319946), (10, 108.34672474861145), (11, 111.99519777297974), (12, 108.24746632575989), (13, 107.75089120864868), (14, 108.16213655471802), (15, 108.72663235664368), (16, 108.0270323753357), (17, 108.06655931472778), (18, 109.32318091392517), (19, 107.93161964416504), (20, 108.21221446990967), (21, 108.24448347091675)]
A1;3;[(1, 117.55440044403076), (2, 112.14836382865906), (3, 112.01400089263916), (4, 115.34724760055542), (5, 112.48425483703613), (6, 113.67135119438171), (7, 111.61182284355164), (8, 112.69468760490417), (9, 111.85843205451965), (10, 112.11007523536682), (11, 117.35551404953003), (12, 112.51504635810852), (13, 113.63421368598938), (14, 113.1076135635376), (15, 113.533362865448), (16, 113.75875496864319), (17, 113.12918782234192), (18, 112.94646310806274), (19, 114.11787509918213), (20, 112.65873837471008), (21, 113.74175190925598), (22, 113.46751093864441), (23, 113.00438857078552), (24, 113.78419089317322), (25, 113.07664799690247), (26, 112.60130190849304), (27, 112.25836420059204), (28, 111.99536871910095), (29, 112.55135679244995), (30, 113.59952473640442), (31, 113.83345031738281), (32, 112.73296284675598), (33, 112.7141044139862), (34, 113.05887627601624)]
A1;4;[(1, 115.48681831359863), (2, 110.35706400871277), (3, 108.84532809257507), (4, 109.90220165252686), (5, 110.21332287788391), (6, 109.78901100158691), (7, 110.15557980537415), (8, 110.1848955154419), (9, 110.05238604545593), (10, 109.78758263587952), (11, 113.67411470413208), (12, 107.0866641998291), (13, 106.94432854652405), (14, 108.49974346160889), (15, 109.07375979423523), (16, 107.82046270370483), (17, 109.67063021659851), (18, 113.71256756782532), (19, 113.92338395118713), (20, 114.35200357437134), (21, 114.39177107810974), (22, 114.49034023284912), (23, 114.21239376068115), (24, 113.59506416320801), (25, 113.00826144218445), (26, 112.23946380615234), (27, 111.8410017490387), (28, 113.01871466636658)]
B3;0;[(1, 195.87192845344543), (2, 190.5750744342804), (3, 189.96919107437134), (4, 192.1638798713684), (5, 189.37004685401917), (6, 191.3125262260437), (7, 190.2608790397644), (8, 191.53441452980042), (9, 190.69457530975342), (10, 189.2980465888977), (11, 196.22560214996338), (12, 190.93263244628906), (13, 185.9186851978302), (14, 183.64046430587769), (15, 185.5053207874298), (16, 184.10129523277283), (17, 183.164963722229), (18, 184.299569606781), (19, 183.51905798912048), (20, 183.5919680595398), (21, 183.70707774162292), (22, 183.89872455596924), (23, 186.00560569763184), (24, 183.7090127468109), (25, 182.44235014915466), (26, 184.02485466003418), (27, 184.6449568271637), (28, 183.69348192214966), (29, 184.3791537284851), (30, 182.8784830570221), (31, 184.62570095062256), (32, 186.67602610588074), (33, 188.7261140346527)]
B3;1;[(1, 197.23936796188354), (2, 190.53928589820862), (3, 189.9034423828125), (4, 191.5757658481598), (5, 191.78843140602112), (6, 191.80858254432678), (7, 192.0061435699463), (8, 191.20277857780457), (9, 188.35599398612976), (10, 188.86552667617798), (11, 191.3273367881775), (12, 188.3421332836151), (13, 187.730295419693), (14, 191.2387969493866), (15, 190.0795714855194), (16, 189.98334980010986), (17, 187.05272126197815), (18, 186.26225066184998), (19, 188.60459852218628), (20, 190.23787927627563), (21, 186.9997489452362), (22, 186.75637888908386), (23, 188.71805119514465), (24, 188.00533986091614)]
B3;2;[(1, 191.00099802017212), (2, 185.8653450012207), (3, 187.48290133476257), (4, 186.74772810935974), (5, 186.28771996498108), (6, 186.7320420742035), (7, 185.89282846450806), (8, 186.09058094024658), (9, 186.66187620162964), (10, 184.79882907867432), (11, 192.30986332893372), (12, 186.10222339630127), (13, 186.77906489372253), (14, 187.18493556976318), (15, 186.59374380111694), (16, 183.77420258522034), (17, 185.54039692878723), (18, 186.04451203346252), (19, 188.30600333213806), (20, 187.22472882270813), (21, 186.8369927406311), (22, 185.10567212104797), (23, 185.62330651283264)]
B3;3;[(1, 203.2209610939026), (2, 189.74549770355225), (3, 190.11238527297974), (4, 188.1576817035675), (5, 192.30269861221313), (6, 192.84646558761597), (7, 192.2378168106079), (8, 193.0473871231079), (9, 192.0890440940857), (10, 192.3760004043579), (11, 198.2787802219391), (12, 192.74236369132996), (13, 193.15532398223877), (14, 191.2722237110138), (15, 193.43718791007996), (16, 193.66283464431763), (17, 193.79344248771667), (18, 192.55088138580322), (19, 191.89635705947876), (20, 190.77951765060425), (21, 192.40319395065308), (22, 192.11416220664978), (23, 191.24639797210693), (24, 192.99910807609558), (25, 192.73804783821106), (26, 192.74881720542908), (27, 191.99467158317566), (28, 191.6688597202301), (29, 191.78286838531494), (30, 190.78958535194397), (31, 192.4839334487915), (32, 192.1391966342926), (33, 192.4642198085785), (34, 193.6829969882965), (35, 192.63916969299316), (36, 193.2319848537445), (37, 191.46065592765808), (38, 193.42478132247925)]
B3;4;[(1, 194.58985424041748), (2, 190.274343252182), (3, 189.745215177536), (4, 188.65989899635315), (5, 189.0061547756195), (6, 189.24090099334717), (7, 188.29622149467468), (8, 188.2418737411499), (9, 188.5781056880951), (10, 189.0601291656494), (11, 193.8667495250702), (12, 188.65384364128113), (13, 189.9615273475647), (14, 189.60288834571838), (15, 188.7958164215088), (16, 189.71433329582214), (17, 191.37733602523804), (18, 193.82274913787842), (19, 192.35218834877014), (20, 192.71842908859253), (21, 192.47210431098938), (22, 195.146075963974), (23, 197.15206718444824), (24, 196.5182740688324), (25, 195.90233397483826), (26, 195.3163812160492), (27, 193.7957980632782), (28, 196.77095317840576), (29, 197.40631556510925), (30, 196.71875667572021), (31, 195.0290892124176), (32, 197.50844478607178), (33, 195.7706298828125), (34, 196.00280809402466), (35, 195.5675458908081), (36, 195.2617154121399), (37, 195.94401288032532), (38, 195.96927690505981), (39, 196.68543148040771), (40, 197.18191289901733), (41, 196.14990091323853), (42, 196.36718440055847), (43, 196.1418216228485)]
