Model;Idx;Metrics
A2;0;[('Precision', 0.17052906199517878), ('Recall', 0.3454096719220743), ('F-measure', 0.22610420411817175), ('Average_Overlap_Ratio', 0.7659724447310976), ('Precision_no_offset', 0.34549560903606574), ('Recall_no_offset', 0.719382578844625), ('F-measure_no_offset', 0.46233985379709897), ('Average_Overlap_Ratio_no_offset', 0.5264433696882799), ('Onset_Precision', 0.4263833512698934), ('Onset_Recall', 0.8875496381314628), ('Onset_F-measure', 0.5704827825548403), ('Offset_Precision', 0.4187024095070486), ('Offset_Recall', 0.8770626588635956), ('Offset_F-measure', 0.5612773938557496)]
A2;1;[('Precision', 0.17856049014544528), ('Recall', 0.3355080778389737), ('F-measure', 0.23101784967382238), ('Average_Overlap_Ratio', 0.7656043186393017), ('Precision_no_offset', 0.3653758807373139), ('Recall_no_offset', 0.7043484545771225), ('F-measure_no_offset', 0.4768705618782752), ('Average_Overlap_Ratio_no_offset', 0.5280320490293562), ('Onset_Precision', 0.44968261031208734), ('Onset_Recall', 0.86606700417333), ('Onset_F-measure', 0.5866334524450577), ('Offset_Precision', 0.44201530477905115), ('Offset_Recall', 0.8567486715280398), ('Offset_F-measure', 0.5777799226006886)]
A2;2;[('Precision', 0.17389003869300346), ('Recall', 0.3383511746960111), ('F-measure', 0.22738051527212264), ('Average_Overlap_Ratio', 0.7679227150048452), ('Precision_no_offset', 0.3525588343565033), ('Recall_no_offset', 0.7040369584600045), ('F-measure_no_offset', 0.46511786138881916), ('Average_Overlap_Ratio_no_offset', 0.5394058346945474), ('Onset_Precision', 0.43602556508791734), ('Onset_Recall', 0.8721652324338683), ('Onset_F-measure', 0.5754926539209078), ('Offset_Precision', 0.4296964516595907), ('Offset_Recall', 0.8654256215587655), ('Offset_F-measure', 0.5683770670164452)]
A2;3;[('Precision', 0.1660301674701068), ('Recall', 0.34506623527272645), ('F-measure', 0.22206531391002354), ('Average_Overlap_Ratio', 0.7683916380693603), ('Precision_no_offset', 0.3386375895495819), ('Recall_no_offset', 0.7230881716514788), ('F-measure_no_offset', 0.4570219689014046), ('Average_Overlap_Ratio_no_offset', 0.5282898044858048), ('Onset_Precision', 0.4204899847302111), ('Onset_Recall', 0.8985308977032547), ('Onset_F-measure', 0.5676172764043752), ('Offset_Precision', 0.4111623773588155), ('Offset_Recall', 0.8829505516502533), ('Offset_F-measure', 0.5558562574215661)]
A2;4;[('Precision', 0.17906046510747886), ('Recall', 0.343187101624051), ('F-measure', 0.23301404017360502), ('Average_Overlap_Ratio', 0.7696306962340073), ('Precision_no_offset', 0.3631393320845466), ('Recall_no_offset', 0.7177997289930931), ('F-measure_no_offset', 0.47760009977233775), ('Average_Overlap_Ratio_no_offset', 0.5344112960122939), ('Onset_Precision', 0.44500236048131986), ('Onset_Recall', 0.8802879047847386), ('Onset_F-measure', 0.5853561242563105), ('Offset_Precision', 0.43438696720571357), ('Offset_Recall', 0.8645534977151431), ('Offset_F-measure', 0.5724575990902082)]
A3;0;[('Precision', 0.16677964549962127), ('Recall', 0.35429773847123275), ('F-measure', 0.22452219244537824), ('Average_Overlap_Ratio', 0.7666597449119867), ('Precision_no_offset', 0.33107138914391954), ('Recall_no_offset', 0.7232846935947709), ('F-measure_no_offset', 0.44972567171156425), ('Average_Overlap_Ratio_no_offset', 0.5233073526971616), ('Onset_Precision', 0.41071266508391063), ('Onset_Recall', 0.897841780373096), ('Onset_F-measure', 0.5579774056295095), ('Offset_Precision', 0.40367180347374987), ('Offset_Recall', 0.8878048311163127), ('Offset_F-measure', 0.5493925442852632)]
A3;1;[('Precision', 0.1761091519498271), ('Recall', 0.35292415051654247), ('F-measure', 0.23277048557702415), ('Average_Overlap_Ratio', 0.766011968777095), ('Precision_no_offset', 0.3502375555706662), ('Recall_no_offset', 0.7221054365677904), ('F-measure_no_offset', 0.4673162672158391), ('Average_Overlap_Ratio_no_offset', 0.5284242607535964), ('Onset_Precision', 0.4303681374714674), ('Onset_Recall', 0.8874556290318519), ('Onset_F-measure', 0.5741846234778964), ('Offset_Precision', 0.42267918276397637), ('Offset_Recall', 0.8779275878245069), ('Offset_F-measure', 0.5651660909494519)]
A3;2;[('Precision', 0.18074688741537712), ('Recall', 0.35046735646363725), ('F-measure', 0.23642492666049447), ('Average_Overlap_Ratio', 0.7683455125694577), ('Precision_no_offset', 0.36433583367405653), ('Recall_no_offset', 0.7241009598185975), ('F-measure_no_offset', 0.48061870355778763), ('Average_Overlap_Ratio_no_offset', 0.5325262361283974), ('Onset_Precision', 0.44419938176480556), ('Onset_Recall', 0.8817894353415093), ('Onset_F-measure', 0.585665373704322), ('Offset_Precision', 0.43547416241210823), ('Offset_Recall', 0.869644656281546), ('Offset_F-measure', 0.575243488407558)]
A3;3;[('Precision', 0.16899185085311194), ('Recall', 0.33862084987845387), ('F-measure', 0.22332985615134412), ('Average_Overlap_Ratio', 0.7642034154314835), ('Precision_no_offset', 0.3446229232644791), ('Recall_no_offset', 0.708849029797644), ('F-measure_no_offset', 0.45941589138722966), ('Average_Overlap_Ratio_no_offset', 0.514842679239827), ('Onset_Precision', 0.4283710932183072), ('Onset_Recall', 0.8806429914239509), ('Onset_F-measure', 0.5709156924089954), ('Offset_Precision', 0.42081490723713283), ('Offset_Recall', 0.8707779665939075), ('Offset_F-measure', 0.5619255511259351)]
A3;4;[('Precision', 0.17159741987897853), ('Recall', 0.34488080431956025), ('F-measure', 0.22696617953825463), ('Average_Overlap_Ratio', 0.7677125903941184), ('Precision_no_offset', 0.3481713711085026), ('Recall_no_offset', 0.7183247720629002), ('F-measure_no_offset', 0.4645472130791257), ('Average_Overlap_Ratio_no_offset', 0.5324861718501726), ('Onset_Precision', 0.43082199613034017), ('Onset_Recall', 0.889887634067831), ('Onset_F-measure', 0.574975749307007), ('Offset_Precision', 0.4203209778117973), ('Offset_Recall', 0.8743206791560661), ('Offset_F-measure', 0.5621694644482543)]
