Model;Idx;Time
A2;0;[(1, 119.8796865940094), (2, 113.76583814620972), (3, 115.61035680770874), (4, 115.25969791412354), (5, 114.52581310272217), (6, 115.23812437057495), (7, 114.90052032470703), (8, 115.27825045585632), (9, 117.72651696205139), (10, 115.82493329048157), (11, 118.57455229759216), (12, 115.49837613105774), (13, 115.14082932472229), (14, 116.03180003166199), (15, 114.22391271591187), (16, 115.56501984596252), (17, 114.37197637557983), (18, 115.55981779098511), (19, 115.84027886390686), (20, 113.76907181739807), (21, 115.9228003025055), (22, 116.14023280143738), (23, 115.88181900978088), (24, 115.5404441356659), (25, 115.28065824508667), (26, 112.97155427932739), (27, 112.96457195281982), (28, 116.10245060920715), (29, 114.49459767341614)]
A2;1;[(1, 125.52900838851929), (2, 114.14211106300354), (3, 113.87943506240845), (4, 113.33029222488403), (5, 112.43463659286499), (6, 115.08894515037537), (7, 114.37595629692078), (8, 114.9236969947815), (9, 114.76254725456238), (10, 114.34438705444336), (11, 119.97652435302734), (12, 114.98876166343689), (13, 113.6308205127716), (14, 115.21032214164734), (15, 114.60498309135437), (16, 113.52462267875671), (17, 115.39444184303284), (18, 114.21605134010315), (19, 114.24630355834961), (20, 113.07264018058777), (21, 112.04141521453857), (22, 112.65424656867981), (23, 113.06537389755249)]
A2;2;[(1, 119.52163481712341), (2, 116.73614883422852), (3, 114.40435671806335), (4, 115.01924991607666), (5, 114.53452563285828), (6, 114.45264935493469), (7, 114.60221982002258), (8, 114.40385627746582), (9, 113.02299904823303), (10, 114.17649579048157), (11, 119.56269788742065), (12, 113.31086111068726), (13, 114.35157012939453), (14, 116.19457054138184), (15, 114.88748502731323), (16, 115.06383347511292), (17, 113.33749151229858), (18, 114.25303983688354), (19, 113.57874298095703), (20, 114.99169301986694), (21, 113.17777109146118), (22, 113.48168778419495), (23, 114.23739767074585), (24, 114.75102186203003), (25, 113.89846873283386)]
A2;3;[(1, 117.34136295318604), (2, 112.93880701065063), (3, 112.43104529380798), (4, 115.00034523010254), (5, 112.94356608390808), (6, 112.8441207408905), (7, 114.1273787021637), (8, 111.53449511528015), (9, 114.51269888877869), (10, 111.90141606330872), (11, 117.23755884170532), (12, 113.43583369255066), (13, 112.86083245277405), (14, 114.01766800880432), (15, 112.74326300621033), (16, 113.5608639717102), (17, 113.60486078262329), (18, 111.84663367271423), (19, 113.8696186542511), (20, 112.16700100898743), (21, 113.71370339393616), (22, 113.90393018722534)]
A2;4;[(1, 120.02495265007019), (2, 116.92890787124634), (3, 117.80918788909912), (4, 117.2114953994751), (5, 116.02187180519104), (6, 114.76335763931274), (7, 116.49601149559021), (8, 115.25705003738403), (9, 115.81195068359375), (10, 115.60392570495605), (11, 120.38152599334717), (12, 115.35104537010193), (13, 116.06740474700928), (14, 115.61160588264465), (15, 116.04676342010498), (16, 116.86071801185608), (17, 115.9221785068512), (18, 115.68700361251831), (19, 115.72203850746155), (20, 115.27859807014465), (21, 115.22369694709778), (22, 116.39958024024963), (23, 116.96581816673279), (24, 115.2441611289978), (25, 116.07692861557007), (26, 115.74738383293152), (27, 116.4736008644104), (28, 116.45784783363342), (29, 115.77432250976562), (30, 117.10238456726074), (31, 115.93552255630493), (32, 115.61771488189697), (33, 117.79171085357666), (34, 116.80492687225342), (35, 116.01107454299927)]
A3;0;[(1, 127.6660041809082), (2, 123.64162397384644), (3, 122.58322930335999), (4, 123.84299421310425), (5, 122.93598914146423), (6, 124.25823330879211), (7, 123.54482436180115), (8, 124.4558572769165), (9, 122.57346272468567), (10, 123.61356997489929), (11, 128.58024191856384), (12, 122.61153173446655), (13, 123.8339056968689), (14, 123.0888819694519), (15, 125.68219327926636), (16, 122.80782389640808), (17, 123.74412798881531), (18, 122.8701822757721), (19, 122.6285572052002), (20, 121.95381045341492), (21, 124.12382650375366), (22, 122.94322872161865), (23, 122.30426907539368), (24, 122.61022877693176), (25, 122.5979585647583), (26, 122.3686056137085), (27, 121.94977712631226), (28, 122.13747119903564), (29, 124.52645874023438), (30, 122.09184718132019), (31, 123.25160217285156), (32, 123.84182548522949), (33, 122.91713333129883), (34, 123.12596035003662)]
A3;1;[(1, 135.12168407440186), (2, 121.59818935394287), (3, 123.46063733100891), (4, 125.1089837551117), (5, 125.16128468513489), (6, 127.05738568305969), (7, 123.4254879951477), (8, 125.22788524627686), (9, 122.43057560920715), (10, 130.3940327167511), (11, 125.13613533973694), (12, 122.77504873275757), (13, 124.33943486213684), (14, 123.83923387527466), (15, 122.59358358383179), (16, 124.51635217666626), (17, 124.23089575767517), (18, 126.36241722106934), (19, 122.73968744277954), (20, 125.72877740859985), (21, 124.88183760643005), (22, 124.87967491149902), (23, 123.63467311859131), (24, 124.06061244010925), (25, 120.89246416091919), (26, 124.33373618125916), (27, 123.64159631729126), (28, 121.83397793769836), (29, 124.13556051254272), (30, 123.07911658287048), (31, 125.21503067016602)]
A3;2;[(1, 126.80061531066895), (2, 124.36313724517822), (3, 124.59208679199219), (4, 123.50959897041321), (5, 122.0787205696106), (6, 122.45417785644531), (7, 124.84033560752869), (8, 123.58835315704346), (9, 124.22218084335327), (10, 122.97195315361023), (11, 127.6515007019043), (12, 123.93622493743896), (13, 123.79506230354309), (14, 125.1423511505127), (15, 125.42339205741882), (16, 122.28002190589905), (17, 123.34428858757019), (18, 123.0923445224762), (19, 122.48567819595337), (20, 123.37145137786865), (21, 122.72927451133728), (22, 122.89853477478027), (23, 122.82158303260803), (24, 123.97649455070496), (25, 121.6191098690033)]
A3;3;[(1, 130.96650004386902), (2, 125.04259538650513), (3, 123.88646960258484), (4, 124.94444155693054), (5, 124.02216935157776), (6, 124.79942178726196), (7, 123.97494983673096), (8, 122.61568760871887), (9, 123.05526995658875), (10, 123.51024103164673), (11, 129.59830141067505), (12, 126.63375496864319), (13, 126.22577261924744), (14, 124.32245349884033), (15, 125.34152483940125), (16, 125.35459733009338), (17, 125.80948805809021), (18, 124.39555883407593), (19, 124.12779712677002), (20, 125.63001441955566), (21, 124.50817942619324), (22, 124.75995087623596), (23, 126.14046454429626), (24, 125.11099410057068), (25, 125.71728944778442)]
A3;4;[(1, 126.57131147384644), (2, 121.37172603607178), (3, 121.625333070755), (4, 123.02296876907349), (5, 121.66138339042664), (6, 122.9242057800293), (7, 121.4317638874054), (8, 119.81282949447632), (9, 120.38820552825928), (10, 121.06007504463196), (11, 125.75517320632935), (12, 122.32161450386047), (13, 121.46737623214722), (14, 121.90894675254822), (15, 122.34968972206116), (16, 123.1320869922638), (17, 123.02995872497559), (18, 122.83594536781311), (19, 122.97706604003906), (20, 122.68793249130249), (21, 122.92701148986816), (22, 123.98394107818604), (23, 122.52437162399292), (24, 122.32258677482605), (25, 122.8123025894165), (26, 123.08074450492859), (27, 121.19351196289062), (28, 120.70009636878967), (29, 123.38150477409363), (30, 122.58507061004639), (31, 122.80516076087952), (32, 121.48205590248108), (33, 124.49272632598877), (34, 122.18229341506958)]
D1;0;[(1, 167.90030598640442), (2, 162.1222288608551), (3, 162.59370851516724), (4, 161.52248978614807), (5, 162.71887969970703), (6, 163.05183672904968), (7, 162.79511499404907), (8, 162.9170265197754), (9, 161.67877626419067), (10, 162.99545621871948), (11, 166.45024871826172), (12, 161.39108324050903), (13, 162.15206098556519), (14, 162.07291865348816), (15, 163.10476064682007), (16, 162.69922852516174), (17, 162.43019700050354), (18, 162.73118138313293), (19, 161.75200843811035), (20, 162.45130467414856), (21, 162.6768822669983), (22, 161.7357361316681), (23, 159.94398427009583), (24, 159.77254462242126), (25, 161.37681889533997), (26, 159.9764232635498), (27, 161.25297141075134), (28, 160.58077359199524), (29, 161.80664038658142), (30, 162.75192403793335), (31, 161.20001912117004), (32, 160.56913995742798), (33, 161.03724217414856), (34, 161.52483534812927), (35, 161.51086449623108), (36, 161.060941696167), (37, 162.39053606987), (38, 162.54463601112366), (39, 161.75143361091614), (40, 162.64325428009033), (41, 162.03464722633362), (42, 161.75393509864807), (43, 161.20238137245178), (44, 161.43111848831177), (45, 161.7069079875946)]
D1;1;[(1, 171.51342344284058), (2, 161.90969848632812), (3, 162.25179243087769), (4, 162.7215540409088), (5, 162.65265345573425), (6, 162.95852947235107), (7, 162.21962904930115), (8, 161.0578978061676), (9, 161.95645546913147), (10, 161.72834157943726), (11, 165.94807028770447), (12, 161.7918291091919), (13, 159.40505647659302), (14, 160.31738924980164), (15, 159.8241467475891), (16, 162.0165069103241), (17, 161.70201206207275), (18, 161.93865585327148), (19, 162.30809044837952), (20, 160.2584264278412), (21, 159.25103187561035)]
D1;2;[(1, 165.09781074523926), (2, 159.43071603775024), (3, 159.5524628162384), (4, 160.41027212142944), (5, 161.90301609039307), (6, 162.48309564590454), (7, 161.66517448425293), (8, 160.99240970611572), (9, 158.3881494998932), (10, 158.97283387184143), (11, 163.59727144241333), (12, 159.21679306030273), (13, 158.55253911018372), (14, 160.6310589313507), (15, 161.96904754638672), (16, 161.12551832199097), (17, 161.03945136070251), (18, 162.35340356826782), (19, 162.12340784072876), (20, 162.125807762146), (21, 161.45451021194458), (22, 162.2481939792633), (23, 159.28620672225952), (24, 158.32096672058105), (25, 159.45732474327087), (26, 161.16992735862732), (27, 160.18062615394592)]
D1;3;[(1, 167.7427933216095), (2, 162.3367178440094), (3, 162.41304111480713), (4, 162.29219889640808), (5, 162.30827283859253), (6, 162.084725856781), (7, 160.09022402763367), (8, 161.11595249176025), (9, 161.0906457901001), (10, 160.4321882724762), (11, 166.5716953277588), (12, 161.16236805915833), (13, 161.79389715194702), (14, 162.68590760231018), (15, 161.38649725914001), (16, 161.12466430664062), (17, 159.92957997322083), (18, 159.91608428955078), (19, 160.57178378105164), (20, 161.05363059043884), (21, 162.03238344192505), (22, 161.3118715286255), (23, 161.8081705570221), (24, 161.6447479724884), (25, 161.96398997306824), (26, 161.69136333465576), (27, 160.82844233512878), (28, 162.06873416900635), (29, 161.23652935028076), (30, 161.79965329170227), (31, 161.79101157188416), (32, 160.31833744049072), (33, 162.05674719810486)]
D1;4;[(1, 166.82726192474365), (2, 162.89649319648743), (3, 162.09047961235046), (4, 162.3808524608612), (5, 161.7565472126007), (6, 163.02622318267822), (7, 163.0951452255249), (8, 162.7979245185852), (9, 162.99043655395508), (10, 162.60401701927185), (11, 167.54248762130737), (12, 163.07555270195007), (13, 163.0661745071411), (14, 161.94886708259583), (15, 161.12735676765442), (16, 160.15583968162537), (17, 162.3012993335724), (18, 163.01834559440613), (19, 162.03378629684448), (20, 162.34188985824585), (21, 162.62077498435974), (22, 163.02297282218933), (23, 161.02547144889832), (24, 159.78693914413452), (25, 159.7542269229889), (26, 162.0868046283722), (27, 160.55431652069092), (28, 160.97340369224548), (29, 161.77368211746216)]
